country,total_population,smartphone_penetration,smartphone_users
China,1440000000.00,0.66,953550000.00
India,1390000000.00,0.354,492780000.00
United States,332920000.00,0.822,273760000.00
Indonesia,276360000.00,0.617,170400000.0
Brazil,213990000.00,0.554,118530000.00
Russia,145910000.00,0.701,102210000.00
Japan,126050000.00,0.659,83030000.00
Mexico,130260000.00,0.574,74780000.00
Vietnam,98170000.00,0.682,66900000.0
Germany,83900000.0,0.788,66150000.00
Bangladesh,166300000.0,0.369,61340000.00
Iran,85030000.00,0.673,57190000.00
Turkey,85040000.00,0.648,55140000.00
United Kingdom,68210000.00,0.798,54450000.00
France,65430000.00,0.788,51520000.00
Pakistan,225200000.0,0.209,47100000.0
Italy,60370000.00,0.77,46510000.00
Philippines,111050000.00,0.413,45910000.00
Nigeria,211400000.0,0.197,41690000.00
Thailand,69950000.00,0.593,41470000.00
